,_latitude,_longitude,97_number_of_customers_in_store,268_number_fridges,104_how_many_shelves_does_the_micro_retailer_have,2_current_permanent_employees,4_number_permanent_employees_last_year,103_number_own_fridges,145_number_direct_competitors,24_burnout,272_card_days_receive_money,276_expected_days_informal_credit,36_credit_default_rate,315_frequency_topups,316_frequency_utility_bills,317_home_deliveries,62_frequency_only_services,78_number_home_deliveries_week,172_supplier_frequency
100,19.0338184007,-98.250701898,0,0.0,7,2.1,1.9,2.5,3.8,4.2,1.0,14.2,1.6,9.0,28.5,13.6,10.5,2.0,3.0
101,19.0327127063,-98.250840857,0,2.0,5,2.1,1.9,2.5,3.8,4.2,1.0,14.2,1.6,9.0,28.5,13.6,10.5,2.0,3.0
102,19.0720309,-98.1672506,0,2.0,4,2.1,1.9,2.5,3.8,4.2,1.0,14.2,1.6,9.0,28.5,13.6,10.5,2.0,3.0
103,19.0720059,-98.1671792,1,0.0,3,1.0,0.0,2.5,3.8,7.0,1.0,14.2,1.6,9.0,28.5,13.6,10.5,2.0,3.0
104,19.0716081,-98.1664491,0,0.0,7,2.1,1.9,2.5,3.8,4.2,1.0,14.2,1.6,9.0,28.5,13.6,10.5,2.0,3.0
105,19.0719822,-98.1665939,2,5.0,14,0.0,0.0,2.5,10.0,4.2,1.0,14.2,1.6,60.0,50.0,13.6,10.5,2.0,3.0
106,19.0333071677,-98.2507821267,1,2.0,6,1.0,0.0,0.0,20.0,5.0,1.0,14.2,1.6,9.0,28.5,13.6,10.5,2.0,7.0
107,19.0146935766,-98.2210735825,1,0.0,5,1.0,1.0,2.5,7.0,4.2,1.0,14.2,1.6,9.0,28.5,13.6,10.5,2.0,1.0
109,19.0746506117,-98.1669275557,1,2.0,10,2.1,1.9,2.5,3.8,4.2,1.0,14.2,1.6,9.0,28.5,13.6,10.5,2.0,3.0
110,19.02073466,-98.2607148813,0,0.0,3,2.1,1.9,2.5,3.8,4.2,1.0,14.2,1.6,9.0,28.5,13.6,10.5,2.0,3.0
